KEY,CHARACTER,English,Spanish,French,Italian,German,Russian,EnglishOrigin
Menu-Lbl-Select,-,选择,SELECT,AFFICHAGE,VISUALIZZA,ANSICHT,ПРОСМОТР,SELECT
Menu-Lbl-BindingHelp,-,* 按ESC键取消,* Presiona el botón ESCAPE para cancelar,* Appuyez sur la touche ESC pour annuler,* Premi ESC per annullare,* Drücke ESC zum Abbrechen,* Нажмите ESC для отмены,* Press ESCAPE button to cancel
Menu-Btn-Apply,-,应用,APLICAR,APPLIQUER,APPLICA,ANWENDEN,ПРИМЕНИТЬ,APPLY
Menu-Btn-Reset,-,重置,REESTABLECER,RÉINITIALISER,RIPRISTINA,ZURÜCKSETZEN,СБРОС,RESET
Menu-Btn-Back,-,返回,VOLVER,RETOUR,INDIETRO,ZURÜCK,НАЗАД,BACK
Menu-Lbl-ChangeProfile,-,更改档案,Cambiar perfil,Changer profil,Cambia profilo,Profil wechseln,Изменить профиль,Change profile
Menu-Lbl-ChooseProfile,-,选择档案,Elegir perfil,Choisir profil,Scegli profilo,Profil auswählen,Выбрать профиль,Choose profile
Menu-Lbl-PlayAsGuest,-,以客机身份游玩,Jugar como invitado,Jouer en tant qu'invité,Gioca come ospite,Als Gast spielen,Играть как гость,Play as guest
Menu-Lbl-WarningData,-,数据不会被保存,No se guardaran datos,Les données ne seront pas sauvegardées,I dati non saranno salvati,Daten werden nicht gespeichert.,Данные не будут сохранены.,Data will not be saved
Menu-Lbl-WarningNewGame,-,开始新游戏将会删除当前存档,Empezar una nueva partida borrará tu progreso actual,Commencer une nouvelle partie effacera votre progression actuelle,Iniziando una nuova partita cancellerai i tuoi attuali progressi,Beim Starten eines neuen Spiels wird dein Spielfortschritt überschrieben.,При начале новой игры ваш текущий прогресс будет потерян.,Starting a new game will erase your current progress
Loading,-,加载中……,Cargando...,Chargement…,Caricamento...,Lade ...,Загрузка...,Loading...
Loading-Data,-,读取数据中……,Cargando datos...,Chargement des données…,Caricamento dati...,Lade Daten ...,Загрузка данных...,Loading data...
Death_String,-,[FFFFFF]按任意键重新开始,[FFFFFF]Pulsa cualquier botón para reiniciar.,[FFFFFF]Appuyez sur une touche pour recommencer,[FFFFFF]Premi un tasto per ricominciare,[FFFFFF]Beliebige Taste zum Neustart,"[FFFFFF]Нажмите любую кнопка, чтобы начать заново",[FFFFFF]Press any button to restart
DeathHardcore_String,-,[FFFFFF]按任意键退出,[FFFFFF]Pulsa cualquier botón para salir.,[FFFFFF]Appuyez sur une touche pour quitter,[FFFFFF]Premi un tasto per uscire,[FFFFFF]Beliebige Taste zum Verlassen,"[FFFFFF]Нажмите любую кнопка, чтобы выйти",[FFFFFF]Press any button to exit
StartToSkip_String,-,[FFFFFF]按START键跳过,[FFFFFF]Pulsa (COMENZAR) para saltártelo.,[FFFFFF]Appuyez sur (MENU) pour passer,[FFFFFF]Premi (MENU) per saltare,[FFFFFF]Drücke (MENÜ) zum Überspringen,"[FFFFFF]Нажмите (МЕНЮ), чтобы пропустить",[FFFFFF]Press (START) to skip
StartToContinue_String,-,[FFFFFF]按START键继续,[FFFFFF]Pulsa (COMENZAR) para continuar.,[FFFFFF]Appuyez sur (MENU) pour continuer,[FFFFFF]Premi (MENU) per continuare,[FFFFFF]Drücke (MENÜ) zum Fortsetzen,"[FFFFFF]Нажмите (МЕНЮ), чтобы продолжить",[FFFFFF]Press (START) to continue
Tutorial-S01-Phrase01,-,[FFFFFF]欢迎来到《莱兹与闪恩》简短但必要的教程环节！利用[FD852E]【移动键】[-]跑到旗子处。,"[FFFFFF]¡Bienvenido al tutorial de Rise & Shine! Es menos peñazo de lo que parece, de verdad. Y te va a ayudar mucho. Usa el [FD852E]MOVIMIENTO[-] para correr y alcanzar la bandera.",[FFFFFF]Bienvenue dans le Tutoriel assez-ennuyeux-mais-très-court de Rise & Shine ! Utilisez le [FD852E]SE DÉPLACER[-] pour courir et atteindre le drapeau.,[FFFFFF]Benvenuto al livello tutorial un-po'-noioso-ma-tanto-dura-poco di Rise & Shine! Usa la [FD852E]MUOVI[-] per correre e arrivare alla bandiera.,"[FFFFFF]Willkommen im langweiligen, aber wirklich kurzen Tutorial von Rise & Shine! Benutze den [FD852E]BEWEGEN[-] um zu laufen. Laufe zur Flagge.","[FFFFFF]Приветствуем вас в довольно-скучном-но-зато-коротком обучающем уровне игры Rise & Shine! Используйте [FD852E]ПЕРЕМЕСТИТЬСЯ[-], чтобы добежать до флага.",[FFFFFF]Welcome to Rise & Shine's short but necessary tutorial! Use [FD852E][MOVE][-] to run and reach the flag.
Tutorial-S01-Phrase02,-,[FFFFFF]按[FD852E]【跳跃键】[-]利用你的枪来进行跳跃。通过这种方法，你甚至能进行[FD852E]二段跳[-]！哇！,[FFFFFF]Usa el [FD852E]SALTAR[-] y saltarás al disparar tu pistola contra el suelo. También se puede hacer [FD852E]doble salto[-]. ¡Toma ya!,[FFFFFF]Utilisez la [FD852E]SAUTER[-] pour sauter à l’aide de votre arme. Vous pouvez même faire un [FD852E]double saut[-] si vous voulez ! Ouah !,[FFFFFF]Usa il [FD852E]SALTA[-] per saltare con l'aiuto della tua pistola. Puoi anche spiccare un [FD852E]doppio salto[-] se vuoi! WOW!,"[FFFFFF]Drücke die [FD852E]SPRINGEN[-] um mit deiner Waffe zu springen. Wenn du willst, kannst du sogar einen [FD852E]Doppelsprung[-] machen! WOW!","[FFFFFF]Используйте [FD852E]ПРЫГНУТЬ[-], чтобы подпрыгнуть при помощи своего оружия. Если хочется, можно даже совершить [FD852E]двойной прыжок[-]! УХ ТЫ!",[FFFFFF]Use [FD852E][JUMP][-] to jump using your gun. You can even make a [FD852E]double jump[-] if you want to! WOW!
Tutorial-S01-Phrase03,-,[FFFFFF]现在我们要介绍最有趣的部分：射击！按住[FD852E]【举枪键】[-]从枪套中拿出你的枪，利用[FD852E]【鼠标】[-]进行瞄准，然后按[FD852E]【射击键】[-]进行射击。试着把那边飘浮的靶子打掉吧！,"[FFFFFF]Pasamos a la parte de liarse a tiros. Mantén el [FD852E]DESENFUNDAR ARMA[-] pulsado para desenfundar la pistola y apunta con el [FD852E]RATÓN[-]. Luego dispara con el [FD852E]DISPARAR[-]. Venga, cárgate ese blanco que está ahí flotando.","[FFFFFF]C'est parti pour la castagne ! Gardez la [FD852E]DÉGAINER[-] appuyée pour dégainer, visez avec le [FD852E]VISER[-], puis appuyez sur la [FD852E]TIRER[-] pour tirer. Oh, et détruisez cette cible flottante !","[FFFFFF]Ora passiamo alla parte in cui si spara! Tieni premuto il [FD852E]AFFERRA ARMA[-] per estrarre la pistola, mira con la [FD852E]MIRA[-] e poi premi il [FD852E]SPARA[-] per sparare. Ah, e distruggi quel bersaglio fluttuante!","[FFFFFF]Kommen wir nun zum Geballer. Halte den [FD852E]WAFFE ZIEHEN[-] gedrückt, um deine Waffe zu ziehen, benutze den [FD852E]ZIELEN[-], um zu zielen und drücke dann den [FD852E]SCHIESSEN[-], um zu schießen. Ach ja, zerlege am besten mal das schwebe Ziel dort.","[FFFFFF]А теперь мы наконец-то постреляем! Удерживайте [FD852E]ВЗЯТЬ ОРУЖИЕ[-], чтобы достать оружие, и прицельтесь с помощью [FD852E]ЦЕЛИТЬСЯ[-], а затем стреляйте, используя [FD852E]СТРЕЛЯТЬ[-]. И да, нужно разрушить висящую в воздухе цель!","[FFFFFF]Now we get to the fun part: shooting! Hold down [FD852E][GRAB GUN][-] to unholster your gun, aim with [FD852E][MOUSE][-] and then press [FD852E][SHOOT][-] to shoot. Oh, and destroy that floating target!"
Tutorial-S01-Phrase04,-,[FFFFFF]子弹用光了？ 按[FD852E]【填弹键】[-]可以给枪填弹。记住：虽然你的[FD852E]子弹是无限[-]的，但你仍然需要不时地给枪重新填弹。,"[FFFFFF]¿Te has quedado sin munición? Pues pulsa el [FD852E]RECARGAR[-] para recargar. Tienes [FD852E]balas infinitas[-], pero no te olvides de recargar de vez en cuando.","[FFFFFF]Vous n'avez plus de balles dans la chambre ? Appuyez sur la [FD852E]RECHARGER[-] pour recharger. N'OUBLIEZ PAS : vous disposez de [FD852E]balles infinies[-], mais vous aurez besoin de recharger de temps à autre !","[FFFFFF]Sei a corto di colpi? Premi il [FD852E]RICARICA[-] per ricaricare. RICORDA: hai [FD852E]pallottole infinite[-], ma dovrai ricaricare di tanto in tanto!","[FFFFFF]Munition alle? Drücke die [FD852E]NACHLADEN[-] um nachzuladen. DENK DARAN: Du hast [FD852E]unendlich viel Munition[-], aber du musst trotzdem ab und zu nachladen!","[FFFFFF]Закончились патроны? Нажмите [FD852E]ПЕРЕЗАРЯДИТЬ ОРУЖИЕ[-], чтобы перезарядить оружие. ПОМНИТЕ: У вас [FD852E]бесконечные патроны[-], но время от времени придется перезаряжаться!","[FFFFFF]Out of bullets? Press [FD852E][RELOAD][-] to recharge. REMEMBER: You have [FD852E]infinite bullets[-], but you still need to recharge from time to time!"
Tutorial-S01-Phrase05,-,[FFFFFF]我们来试试冲刺吧！在跑动时按[FD852E]【冲刺键】[-]来往正前方冲刺。,[FFFFFF]¡Vamos a ir dándole al dash! Pulsa el [FD852E]DASH[-] mientas estés corriendo en cualquier dirección para hacer un dash.,[FFFFFF]Il est temps de foncer ! Appuyez sur la [FD852E]FONCER[-] en courant dans n'importe quelle direction pour foncer.,[FFFFFF]Adesso impariamo a scattare! Premi il [FD852E]SCATTA[-] mentre corri in qualsiasi direzione per scattare.,[FFFFFF]Auf zu einem kleinen Sprint! Drücke beim Laufen in eine beliebige Richtung die [FD852E]SPRINTEN[-] um zu sprinten.,"[FFFFFF]Понеслись! Нажмите [FD852E]РЫВОК[-] во время бега, чтобы совершить рывок в этом направлении.",[FFFFFF]Let's try dashing! Press [FD852E][DASH][-] while running on any direction to dash.
Tutorial-S01-Phrase06,-,[FFFFFF]当你靠近掩体时可以按[FD852E]【掩护键】[-]来躲到它后面。它能帮你挡掉敌人的子弹，让你安心进行回击。,[FFFFFF]Ahora pulsa el [FD852E]CUBRIR[-] para agacharte tras un parapeto. Esto te protegerá del fuego enemigo mientras les devuelves los disparos.,[FFFFFF]Maintenant appuyez sur la [FD852E]À COUVERT[-] quand vous êtes près d'un abri pour vous mettre à couvert. Cela vous protègera des balles ennemies pendant que vous tirez.,[FFFFFF]Ora premi il [FD852E]RIPARO[-] quando sei vicino a un riparo per chinarti e proteggerti. Le pallottole nemiche non ti colpiranno e potrai rispondere al fuoco.,"[FFFFFF] Drücke [FD852E]DECKUNG[-], wenn du dich in der Nähe eines Hindernisses befindest, um dahinter in Deckung zu gehen. So bist du vor feindlichen Kugeln geschützt, während du zurück feuerst.","[FFFFFF]А теперь нажмите [FD852E]В УКРЫТИЕ[-] рядом с укрытием, чтобы спрятаться за него. Укрытия позволяют вам прятаться от вражеских пуль во время перестрелок.",[FFFFFF]Now press [FD852E][COVER][-] whenever you're near cover to duck behind it. This'll protect you from enemy fire while you shoot back.
Tutorial-S01-Phrase07,-,[FFFFFF]按住[FD852E]【举枪键】[-]可以探出掩体，然后和平常一样按[FD852E]【射击键】[-]就能进行射击。谨记，在身体探出时很容易受到敌人的攻击，所以要当心！,"[FFFFFF]Asómate fuera del parapeto manteniendo pulsado [FD852E]DESENFUNDAR ARMA[-] y dispara con [FD852E]DISPARAR[-] como de costumbre. Cuando te asomas eres vulnerable a las balas enemigas, así que ve con cuidado.","[FFFFFF]Penchez-vous hors de votre abri en gardant la [FD852E]DÉGAINER[-] appuyée et tirez avec le [FD852E]TIRER[-]. Vous êtes vulnérable aux balles ennemies quand vous vous penchez, alors soyez prudent !","[FFFFFF]Tieni premuto il [FD852E]AFFERRA ARMA[-] per sporgerti dal riparo e spara con la [FD852E]SPARA[-] come al solito. Quando ti sporgi sei vulnerabile alle pallottole nemiche, perciò fai attenzione!","[FFFFFF]Um aus der Deckung heraus zu schießen halte wie gewohnt den [FD852E]WAFFE ZIEHEN[-] gedrückt und schieß mit dem [FD852E]SCHIESSEN[-]. Während du dich aus der Deckung herauslehnst, kannst du von deinen Feinden getroffen werden. Sei also vorsichtig!","[FFFFFF]Высовывайтесь из-за укрытия, удерживая [FD852E]ВЗЯТЬ ОРУЖИЕ[-], и стреляйте при помощи [FD852E]СТРЕЛЯТЬ[-], как обычно. Высунувшись из-за укрытия, вы становитесь уязвимы для вражеских пуль, так что будьте осторожны!","[FFFFFF]Lean out of cover by holding [FD852E][GRAB GUN][-], then shoot with [FD852E][SHOOT][-] as usual. Remember, you're vulnerable to enemy fire when you lean out, so be careful!"
Tutorial-S01-Phrase08,-,[FFFFFF]松开[FD852E]【举枪键】[-]会躲回掩体。等掩体挡掉两枚子弹后，我们再继续教程。,[FFFFFF]Suelta el [FD852E]DESENFUNDAR ARMA[-] para volver a resguardarte tras el parapeto. Protégete de dos balas para continuar.,[FFFFFF]Relâchez la [FD852E]DÉGAINER[-] pour vous remettre à couvert. Évitez 2 balles en vous mettant à couvert pour continuer.,[FFFFFF]Rilascia il [FD852E]AFFERRA ARMA[-] per tornare al riparo. Riparati da 2 pallottole per continuare.,"[FFFFFF]Lass den [FD852E]WAFFE ZIEHEN[-] los, um wieder in Deckung zu gehen. Duck dich vor 2 Schüssen, um fortzufahren.","[FFFFFF]Отпустите [FD852E]ВЗЯТЬ ОРУЖИЕ[-], чтобы вернуться в укрытие. Укройтесь от 2 пуль, чтобы продолжить.","[FFFFFF]Release [FD852E][GRAB GUN][-] to duck back into cover again. Wait for two bullets to hit, then you can continue."
Tutorial-S01-Phrase09,-,[FFFFFF]现在从掩体中射爆那些烦人的靶子吧。,[FFFFFF]Ahora dispara desde el parapeto a ese blanco tan correoso.,"[FFFFFF]Maintenant, tirez sur cette cible énervante tout en restant à couvert.",[FFFFFF]Ora spara a quel bersaglio fastidioso dal riparo.,[FFFFFF]Schieß jetzt aus deiner Deckung auf dieses lästige Ziel.,[FFFFFF]А теперь стреляйте по этой надоедливой мишени из укрытия.,[FFFFFF]Now shoot at that pesky target from cover.
Tutorial-S01-Phrase10,-,[FFFFFF]再次按下[FD852E]【掩护键】[-]离开掩体。,[FFFFFF]Luego pulsa el [FD852E]CUBRIR[-] de nuevo para salir del parapeto.,"[FFFFFF]Ensuite, appuyez à nouveau sur la [FD852E]À COUVERT[-] pour quitter votre couverture.",[FFFFFF]Poi premi di nuovo il [FD852E]RIPARO[-] per uscire dal riparo.,"[FFFFFF]Drücke erneut [FD852E]DECKUNG[-], um deine Deckung zu verlassen.","[FFFFFF]Затем еще раз нажмите [FD852E]В УКРЫТИЕ[-], чтобы покинуть укрытие.",[FFFFFF]Then press [FD852E][COVER][-] again to exit cover.
Tutorial-S01-Phrase11,-,[FFFFFF]完成啦！做得还不赖，不是吗？,"[FFFFFF]¡Ya está! No ha sido para tanto, ¿verdad?","[FFFFFF]C'est terminé ! Ça n'était pas si terrible, si ? Quand vous êtes prêt, appuyez sur [FD852E]MENU[-] pour quitter ce niveau et commencer la VRAIE AVENTURE. Parce que les tutoriels ne sont pas de [FD852E]VRAIES AVENTURES[-], tout le monde sait ça.","[FFFFFF]Ecco fatto! Non è stato poi così difficile, vero? Quando sei pronto, premi [FD852E]MENU[-] per uscire da questo livello e iniziare la VERA AVVENTURA. Perché lo sanno tutti che i tutorial non sono [FD852E]VERE AVVENTURE[-].","[FFFFFF]Das war's schon! War gar nicht so schlimm, oder? Wenn du bereit bist, drücke [FD852E]MENÜ[-] um dieses Tutorial zu verlassen und mit dem RICHTIGEN ABENTEUER zu beginnen! Schließlich wissen wir ja alle, dass Tutorials keine [FD852E]RICHTIGEN ABENTEUER[-] sind.","[FFFFFF]Вот и все! Не так уж и сложно, правда? Когда будете готовы, нажмите [FD852E]МЕНЮ[-], чтобы покинуть уровень и отправиться в НАСТОЯЩЕЕ ПРИКЛЮЧЕНИЕ. Ведь все знают, что обучение — это еще не [FD852E]НАСТОЯЩЕЕ ПРИКЛЮЧЕНИЕ.[-]","[FFFFFF]All done! That wasn't so bad, now was it?"
Tutorial-S01-Phrase01-PS4,-,XX,"[FFFFFF]¡Bienvenido al tutorial de Rise & Shine! Es menos peñazo de lo que parece, de verdad. Y te va a ayudar mucho. Usa el [FD852E]JOYSTICK IZQUIERDO[-] para correr y alcanzar la bandera.",[FFFFFF]Bienvenue dans le Tutoriel assez-ennuyeux-mais-très-court de Rise & Shine ! Utilisez le [FD852E]joystick gauche[-] pour courir et atteindre le drapeau.,[FFFFFF]Benvenuto al livello tutorial un-po'-noioso-ma-tanto-dura-poco di Rise & Shine! Usa la [FD852E]levetta sinistra[-] per correre e arrivare alla bandiera.,"[FFFFFF]Willkommen im langweiligen, aber wirklich kurzen Tutorial von Rise & Shine! Benutze den [FD852E]linker Stick[-] um zu laufen. Laufe zur Flagge.","[FFFFFF]Приветствуем вас в довольно-скучном-но-зато-коротком обучающем уровне игры Rise & Shine! Используйте [FD852E]левый джойстик[-], чтобы добежать до флага.",[FFFFFF]Welcome to Rise & Shine's short but necessary tutorial! Use [FD852E][LEFT STICK][-] to run and reach the flag.
Tutorial-S01-Phrase02-PS4,-,XX,[FFFFFF]Usa el [FD852E]BOTÓN X[-] y saltarás al disparar tu pistola contra el suelo. También se puede hacer [FD852E]doble salto[-]. ¡Toma ya!,[FFFFFF]Utilisez la [FD852E]touche croix[-] pour sauter à l’aide de votre arme. Vous pouvez même faire un [FD852E]double saut[-] si vous voulez ! Ouah !,[FFFFFF]Usa il [FD852E]tasto croce[-] per saltare con l'aiuto della tua pistola. Puoi anche spiccare un [FD852E]doppio salto[-] se vuoi! WOW!,"[FFFFFF]Drücke die [FD852E]Kreuz-Taste[-] um mit deiner Waffe zu springen. Wenn du willst, kannst du sogar einen [FD852E]Doppelsprung[-] machen! WOW!","[FFFFFF]Используйте [FD852E]кнопка крест[-], чтобы подпрыгнуть при помощи своего оружия. Если хочется, можно даже совершить [FD852E]двойной прыжок[-]! УХ ТЫ!",[FFFFFF]Use [FD852E][X BUTTON][-] to jump using your gun. You can even make a [FD852E]double jump[-] if you want to! WOW!
Tutorial-S01-Phrase03-PS4,-,XX,"[FFFFFF]Pasamos a la parte de liarse a tiros. Mantén el [FD852E]BOTÓN L2[-] pulsado para desenfundar la pistola y apunta con el [FD852E]JOYSTICK DERECHO[-]. Luego dispara con el [FD852E]BOTÓN R2[-]. Venga, cárgate ese blanco que está ahí flotando.","[FFFFFF]C'est parti pour la castagne ! Gardez la [FD852E]L2[-] appuyée pour dégainer, visez avec le [FD852E]joystick droit[-], puis appuyez sur la [FD852E]R2[-] pour tirer. Oh, et détruisez cette cible flottante !","[FFFFFF]Ora passiamo alla parte in cui si spara! Tieni premuto il [FD852E]L2[-] per estrarre la pistola, mira con la [FD852E]levetta destra[-] e poi premi il [FD852E]R2[-] per sparare. Ah, e distruggi quel bersaglio fluttuante!","[FFFFFF]Kommen wir nun zum Geballer. Halte den [FD852E]L2[-] gedrückt, um deine Waffe zu ziehen, benutze den [FD852E]rechter Stick[-], um zu zielen und drücke dann den [FD852E]R2[-], um zu schießen. Ach ja, zerlege am besten mal das schwebe Ziel dort.","[FFFFFF]А теперь мы наконец-то постреляем! Удерживайте [FD852E]L2[-], чтобы достать оружие, и прицельтесь с помощью [FD852E]правый джойстик[-], а затем стреляйте, используя [FD852E]R2[-]. И да, нужно разрушить висящую в воздухе цель!","[FFFFFF]Now we get to the fun part: shooting! Hold down [FD852E][L2 BUTTON][-] to unholster your gun, aim with [FD852E][RIGHT STICK][-] and then press [FD852E][R2 BUTTON][-] to shoot. Oh, and destroy that floating target!"
